Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Данько,Леопольд,Федорович,Чоловіча,21-01-1960,Пекар,селище Лиман ,"проспект Онезька, буд. 071 кв. 05, Часів Яр, 23995",+380 28 965-71-43,bohuslavavalenko@example.com
Гавриш,Альберт,Іванович,Чоловіча,21-10-1993,Агроном,хутір Бар,"узвіз Десятого квітня, буд. 97 кв. 3, Остер , 29641",525-63-50,amaliiazinchuk@example.org
Макогон,Святослав,Ростиславович,Чоловіча,21-07-1959,Ріелтор,хутір Кам'янець-Подільський,"площа Глазунова 2-й, буд. 974 кв. 5, Херсон, 88447",484 47 74,davyddavymuka@example.com
Атаманюк,Аркадій,Валерійович,Чоловіча,08-09-1952,Програміст,місто Кременчук,"площа Альпіністів, буд. 1, Покров, 96973",040 416-15-26,okhrimenkoiosyp@example.net
Зінчук,Станіслав,Богуславович,Чоловіча,04-08-1988,Намотувальник,хутір Червоносів,"проспект Ломоносова, буд. 9, Шахтарськ, 21140",+380 53 745-87-51,panasiukhymenko@example.net
Єщенко,Тимофій,Георгійович,Чоловіча,06-07-1996,Дизайнер,селище Гайворон,"шосе Миколи Плигуна, буд. 077 кв. 3, Мала Виска, 61012",019 267 45 49,hlysenko@example.com
Смик,Пилип,Юхимович,Чоловіча,09-12-1978,Державний службовець,місто Ржищів,"провулок Лінія 36-та, буд. 229, Нововолинськ, 78838",688-19-10,glytvyn@example.net
Носаченко,Гаврило,Мартинович,Чоловіча,05-05-1939,Дантист,село Білопілля,"проспект Патріотична, буд. 4 кв. 257, Докучаєвськ, 06367",393-28-50,hhabelko@example.com
Нестайко,Тарас,Болеславович,Чоловіча,25-07-1962,Паблік рилейшнз,село Сватове,"узвіз Недєліна, буд. 212 кв. 0, Канів, 73390",+380 19 992-21-72,viktor53@example.com
Ніколюк,Єлисей,Венедиктович,Чоловіча,17-02-2000,Сценарист,місто Дніпро ,"провулок Лінія 38-ма, буд. 331, Копичинці, 23141",416 67 12,bderevianko@example.org
Девдюк,Святослав,Євгенійович,Чоловіча,05-03-1961,Кур'єр,місто Слов'янськ,"проспект Розумовський 2-й, буд. 7, Балта, 79937",+380 59 886 41 19,jhavrysh@example.org
Заруба,Охрім,Євгенійович,Чоловіча,20-07-1991,Модель,село Зіньків,"проспект Ланжеронівська, буд. 59 кв. 4, Бібрка, 22586",060 098 76 52,iaroslava48@example.org
Слюсар,Пилип,Вікторович,Чоловіча,03-04-1951,Промисловець,хутір Яремче,"парк Учительський, буд. 281 кв. 37, Кальміуське, 97851",037 822-86-12,mabramenko@example.net
